,bill_type bill_name bill_ID, missing_votes, Arlen Specter (PA), Barack H. Obama (IL), BarbaraA Mikulski(MD), BarbaraBoxer(CA), Bill Nelson(FL), BlancheL.Lincoln(AR), ByronL.Dorgan(ND), C.SaxbyChambliss(GA), CarlLevin(MI), CharlesE.'Chuck' Grassley(IA), CharlesE.'Chuck'Schumer(NY), CharlesT.'Chuck' Hagel(NE), ChristopherJ.Dodd(CT), ChristopherS.'Kit'Bond(MO), ConradR.Burns(MT), CraigThomas(WY), DanielK.Inouye(HI), DanielKahikinaAkaka(HI), DavidB.Vitter (LA), DebbieAnnStabenow(MI), DianneFeinstein(CA), E. Benjamin'Ben'Nelson(NE), EdwardM.'Ted'Kennedy(MA), ElizabethH.Dole(NC), EvanBayh(IN), FrankR.Lautenberg(NJ), GeorgeFelixAllen(VA), GeorgeV.Voinovich(OH), GordonHaroldSmith(OR), HarryM.Reid(NV), HerbertH.’Herb'Kohl(WI), HillaryRodhamClinton(NY), JamesM.'Jim'Inhofe(OK), JamesM.'Jim'Talent(MO), JamesMerrill'Jim'Jeffords(VT), JeffBingaman(NM), JeffersonB.'Jeff'SessionsIII(AL), JimBunning(KY), JimW.DeMint(SC), JohnCornyn(TX), JohnD.'Jay'RockefellerIV(WV), JohnE.Sununu(NH), JohnEricEnsign(NV), JohnF.'Jack'Reed(RI), JohnForbesKerry(MA), JohnH.'Johnny'Isakson(GA), JohnR.Thune(SD), JohnS.McCain(AZ), JohnW.Warner(VA), JonKyl(AZ), JosephI.Lieberman(CT), JosephR.BidenJr.(DE), JuddA.Gregg(NH), KayBaileyHutchison(TX), KenSalazar(CO), KentConrad(ND), LamarAlexander(TN), LarryE.Craig(ID), Lincoln D. Chafee(RI), LindseyO.Graham(SC), LisaA.Murkowski(AK), MariaCantwell(WA), MarkDayton(MN), MarkPryor(AR), MaryL.Landrieu(LA), MaxS.Baucus(MT), MelMartinez(FL), MichaelB.Enzi(WY), MichaelD.'Mike'Crapo(ID), Michael'Mike'DeWine(OH), MitchMcConnell(KY), NormColeman(MN), OlympiaJ.Snowe(ME), OrrinG.Hatch(UT), PatRoberts(KS), PatrickJ.Leahy(VT), PattyMurray(WA), PaulS.Sarbanes(MD), PeteV.Domenici(NM), RichardC.Shelby(AL), RichardG.Lugar(IN), RichardJ.'Dick'Durbin(IL), RichardJ.'Rick'Santorum(PA), RichardM.Burr(NC), RobertC.Byrd(WV), RobertF.Bennett(UT), RobertMenendez(NJ), RonWyden(OR), RussellD.Feingold (WI), SamuelD.'Sam'Brownback(KS), SusanM.Collins(ME), TedStevens(AK), ThadCochran(MS), ThomasAllen'Tom'Coburn(OK), ThomasRichardCarper(DE), Thomas'Tom'Harkin(IA), TimP.Johnson(SD), TrentLott(MS), WayneA.Allard(CO), WilliamH.'Bill'Frist(TN)
134,Social Issues_Same Sex Marriage Resolution_3841,3,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,0,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,1
135,Veterans Issues_Tax Rate Extension Amendment_3800,3,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,0,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
136,Appropriations_Defense Department FY2006 Appropriations bill_3639,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
137,Appropriations_Homeland Security Department FY 2006 Appropriations Act_3569,4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,0,1,1
138,Energy Issues_Energy Policy Act of 2005_3559,4,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1
139,Energy Issues_Gulf of Mexico Energy Security Act of 2006_3883,4,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0,1,1,1,1,1,-1,0,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1
140,"""Executive Branch_Thomas B. Griffith, US Circuit Judge_3535""",4,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,0,1,-1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1
141,Health Issues_AIDS Drug Assistance Program Amendment_3657,4,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,-1,0,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1
142,National Security Issues_Disclosure of Classified Information Amendment_3573,4,-1,1,0,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,0,-1,-1
143,Appropriations_Defense Department FY 2007 Authorization bill_3855,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
144,Congressional Affairs_Financial Relief For Hurricane Katrina Victims Amend_3622,5,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,0,-1,-1
145,Education_Elementary and Secondary Education Act Amendment_3661,5,-1,1,1,1,0,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,0,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,0,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1
146,"""Executive Branch_Alberto R. Gonzales, for Attorney General_3452""",5,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,0,1,0,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
147,"""Executive Branch_David W. McKeague, US Circuit Judge_3537""",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
148,Foreign Aid and Policy Issues_Media in the Middle East Amendment_3895,5,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,0,1,1,1,1,0,-1,1,1,-1,-1,1,1,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,0,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
149,Gun Issues_Firearms Manufacturers Protection bill_3597,5,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,0,1,-1,1,-1,-1,1,1,0,1,1,-1,1,1,1,-1,1,1,1,1,1,0,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,-1,-1,1,1,1,-1,1,1,1,1,0,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1
150,"""Immigration_""""State Criminal Alien Assistance Program"""" Amendment_3831""",5,1,1,1,1,1,1,0,-1,1,-1,1,-1,1,-1,-1,0,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,0,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
151,Appropriations_Energy and Water Appropriations bill FY 2006_3563,6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1
152,"""Appropriations_Transportation, Treasury, HUD, Judiciary, Appropriation_3651""",6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
153,Business and Consumers_Minimum Wage Amendment_3482,6,0,1,0,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,0,-1,-1,1,-1,-1,1,1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
154,"""Executive Branch_Richard A Griffin, US Circuit Judge_3536""",6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
155,Trade Issues_U.S. -Oman Free Trade Agreement_3865,6,1,1,-1,0,1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1
156,Trade Issues_U.S.-Oman Free Trade Agreement Implementation_3902,6,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,0,1,-1,-1,1,0,-1,0,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,0,-1,-1,1,-1,1,1,-1,-1,0,-1,1,1,1
157,Transportation Issues_Transportation Equity Act: A Legacy for Users_3598,6,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
158,Appropriations_Defense Department FY2006 Appropriations bill_3791,7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
159,Appropriations_Interior Department FY 2006 Appropriations Bill_3562,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
160,Environmental Issues_Removal of ANWR Provision from HR 2863_3792,7,1,1,1,1,1,1,1,-1,1,-1,1,-1,0,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,0,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,1,1,0,-1,1,1,-1,-1,0,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,0,1,1,-1,1,-1,-1,-1,1,0,1,-1,-1,-1
161,Executive Branch_Michael Hayden Confirmation_3837,7,-1,-1,1,0,1,1,-1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1
162,Appropriations_Foreign Operations FY2006 Appropriations Bill_3678,9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
163,Appropriations_Future Military Funding for Iraq Amendment_3504,9,1,0,1,1,1,1,1,-1,1,-1,1,1,1,0,0,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,0,-1,1,1,1,-1,1,0,-1,1,1,1,-1,1,1,-1,-1,1,1,1,0,1,-1,-1,1,-1,0,1,1,1,-1,1,1,1,-1,-1,-1,0,-1,-1,1,1,0,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1
164,Defense_Detainees at Guantanamo Bay Amendment_3682,9,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,-1,1,1,0,0,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,0,1,-1,1,1,-1,-1,-1,1,-1,1,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,-1,0,1,-1,1,0,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
165,"""Executive Branch_Second cloture motion on John Bolton, Ambassador to UN_3540""",9,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,1,0,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,0,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,0,1,0,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,0,1,1,1,1,1,-1,-1,0,1,1,1
166,"""Budget, Spending and Taxes_ANWR Oil Drilling Amendment_3243""",10,-1,0,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,0,-1,1,-1,-1,1,1,0,0,1,-1,-1,1,1,-1,-1,0,1,-1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,-1,0,1,1,-1,1,-1,-1,0,1,1,1,-1,-1,-1
167,"""Budget, Spending and Taxes_Budget Resolution FY2004_3247""",10,1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,1,1,-1,-1,0,0,-1,1,1,-1,-1,1,1,0,-1,1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,0,-1,1,0,-1,-1,1,1,1,1,0,-1,-1,-1,1,1,1
168,"""Budget, Spending and Taxes_Congressional Budget for fiscal year 2004_3252""",10,1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,1,1,-1,-1,0,0,-1,1,1,-1,-1,1,1,0,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,0,-1,1,0,-1,-1,1,1,1,1,0,-1,-1,-1,1,1,1
169,"""Budget, Spending and Taxes_Jobs and Economic Growth bill_3257""",10,1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,1,1,-1,-1,0,0,-1,1,1,-1,-1,1,1,0,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,0,-1,1,0,-1,-1,1,1,1,1,0,-1,-1,-1,1,1,1
170,"""Budget, Spending and Taxes_Jobs and Economic Growth bill_3262""",10,1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,1,1,-1,-1,0,0,-1,1,1,-1,-1,1,1,0,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,0,-1,1,0,-1,-1,1,1,1,1,0,-1,-1,-1,1,1,1
171,Energy Issues_Hydrogen Fuel Cell Amendment_3267,10,1,0,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,0,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,0,0,1,1,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,1,1,1,1,1,0,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,1,0,1,-1,0,1,1,1,1,-1,-1,0,1,1,1,-1,-1,-1
172,Energy Issues_Reduction of Foreign Oil Dependence Amendment_3268,10,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
173,Abortion Issues_Prohibit Partial-Birth Abortion bill_3332,11,1,0,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,0,1,-1,1,1,-1,-1,0,0,1,1,1,-1,1,1,0,0,1,1,1,-1,1,1,-1,-1,1,1,-1,0,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,0,1,1,0,-1,-1,1,-1,1,1,0,1,-1,1,1,1,1
174,Appropriations_Fiscal 04 Military Construction Appropriation-Adoption_3353,11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
175,Defense_Emergency Appropriations for Iraq and Afghanistan_3330,11,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,-1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,-1,1,0,1,1,1,1,1,1,0,1,-1,1,1,1,1
176,Defense_Fiscal 2004 Defense Authorization - Conference Report_3352,11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
177,Defense_Fiscal 2004 Defense Authorization-Passage_3261,11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
178,Employment and Affirmative Action_Unemployment Benefits Amendment_3400,11,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,-1,1,0,0,0,1,-1,-1,1,1,-1,-1,0,1,-1,-1,1,-1,1,1,1,1,1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,-1,0,1,1,-1,1,-1,-1,0,1,1,1,-1,-1,-1
179,Family and Children Issues_Federal Marriage Amendment_3440,11,1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,-1,1,-1,0,0,0,-1,1,1,-1,-1,1,1,0,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,0,1,1,0,-1,-1,1,-1,1,1,0,-1,-1,-1,1,1,1
180,Gun Issues_Firearms Manufacturers Protection bill_3371,11,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1
181,Legal Issues_Unborn Victims of Violence Act 2004_3376,11,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,0,1,1,1,1,-1,-1,0,0,1,1,1,-1,-1,0,1,0,1,1,1,-1,1,1,-1,1,1,1,-1,0,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,0,-1,1,0,-1,-1,1,1,1,1,0,1,-1,-1,1,1,1
